Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.135-52.152.90.172-1071-443-6,192.168.8.135,1071,52.152.90.172,443,6,03/05/2023 09:03:12 PM,272137,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.349239537438863,272137.0,0.0,272137.0,272137.0,0,0,0,0,0,272137.0,272137.0,0.0,272137.0,272137.0,0,0,0,0,0,40,0.0,7.349239537438863,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-65.1.184.235-1100-443-6,65.1.184.235,443,192.168.8.135,1100,6,03/05/2023 09:03:18 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,59,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-65.1.184.235-1100-443-6,192.168.8.135,1100,65.1.184.235,443,6,03/05/2023 09:03:18 PM,321,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,96573.20872274143,9345.794392523365,160.5,163.3416664540925,276.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,40,20,6230.529595015576,3115.264797507788,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1187-443-6,192.168.8.135,1187,13.107.5.93,443,6,03/05/2023 09:03:21 PM,414146,7,12,916.0,6569.0,500.0,0.0,130.85714285714286,192.20772493271315,1400.0,0.0,547.4166666666666,641.9880285393791,18073.33645622558,45.8775407706461,23008.11111111111,35521.12347005882,86800.0,0.0,248113.0,41352.166666666664,39338.84742804073,81611.0,567.0,414146.0,37649.63636363636,50752.06786776815,143067.0,0.0,0,0,0,0,140,264,16.902251862869615,28.975288907776484,0.0,1400.0,374.25,546.273584339723,298414.8289473685,0,1,0,0,0,0,0,0,1.0,393.94736842105266,130.85714285714286,547.4166666666666,0,0,0,0,0,0,7,916,12,6569,-1,16380,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1188-443-6,192.168.8.135,1188,13.107.5.93,443,6,03/05/2023 09:03:21 PM,424633,8,14,920.0,7436.0,504.0,0.0,115.00000000000001,185.06523946204177,1400.0,0.0,531.1428571428571,626.956366674975,19678.169148417575,51.809444861798305,20220.61904761905,34294.26689911331,87416.0,0.0,328820.0,46974.28571428572,40589.690816405935,87500.0,65.0,424633.0,32664.076923076922,48851.29606513618,143067.0,0.0,0,0,0,0,160,304,18.839798131563022,32.96964673023529,0.0,1400.0,363.304347826087,538.0654264697326,289514.40316205524,0,1,0,0,0,0,0,0,1.0,379.8181818181818,115.0,531.1428571428571,0,0,0,0,0,0,8,920,14,7436,-1,16380,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1188-443-6,192.168.8.135,1188,13.107.5.93,443,6,03/05/2023 09:03:22 PM,369,2,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,84010.84010840108,8130.081300813007,184.5,113.84419177103415,265.0,104.0,265.0,265.0,0.0,265.0,265.0,0,0,0,0,0,0,1,0,0,40,20,5420.054200542005,2710.0271002710024,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,0.0,20.666666666666668,0.0,31.0,0,0,0,0,0,0,2,0,1,31,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1187-443-6,13.107.5.93,443,192.168.8.135,1187,6,03/05/2023 09:03:22 PM,11453,0,4,0.0,31.0,0,0,0,0,31.0,0.0,7.75,15.500000000000002,2706.71439797433,349.25347070636514,3817.6666666666665,1874.0470467235698,5093.0,1666.0,0,0,0,0,0,11453.0,3817.6666666666665,1874.0470467235698,5093.0,1666.0,0,0,0,0,0,80,0.0,349.25347070636514,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,0.0,7.75,0,0,0,0,0,0,0,0,4,31,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1190-443-6,192.168.8.135,1190,13.107.5.93,443,6,03/05/2023 09:03:22 PM,400015,6,12,1206.0,6464.0,534.0,0.0,201.0,257.6470453934995,1400.0,0.0,538.6666666666667,642.3528247895789,19174.280964463833,44.99831256327887,23530.294117647056,35879.73624792395,98763.0,0.0,257012.0,51402.4,41673.59821637676,99005.0,6601.0,400015.0,36365.00000000001,52208.19926026945,154109.0,0.0,0,0,0,0,120,264,14.99943752109296,29.99887504218592,0.0,1400.0,403.6842105263158,552.7098950355198,305488.2280701754,0,1,0,0,0,0,0,0,2.0,426.1111111111111,201.0,538.6666666666666,0,0,0,0,0,0,6,1206,12,6464,-1,16379,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1191-443-6,192.168.8.135,1191,13.107.5.93,443,6,03/05/2023 09:03:22 PM,365467,9,11,1223.0,6567.0,534.0,0.0,135.8888888888889,222.17360579310747,1400.0,0.0,597.0000000000001,648.7412427154604,21315.193984682614,54.72450316991685,19235.105263157893,35233.12976272748,98319.0,0.0,275240.0,34405.00000000001,41520.39888674344,98506.0,209.0,363497.0,36349.7,46233.53968963801,105254.0,0.0,0,0,0,0,180,244,24.62602642646258,30.098476743454267,0.0,1400.0,370.9523809523809,538.5402934034255,290025.6476190476,0,1,0,0,0,0,0,0,1.0,389.5,135.88888888888889,597.0,0,0,0,0,0,0,9,1223,11,6567,-1,16379,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-13.107.5.93-1190-443-6,192.168.8.135,1190,13.107.5.93,443,6,03/05/2023 09:03:22 PM,1912,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,16213.38912133891,1569.0376569037655,956.0,231.93102422918759,1120.0,792.0,1120.0,1120.0,0.0,1120.0,1120.0,0,0,0,0,0,0,0,0,0,40,20,1046.0251046025105,523.0125523012553,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,257,1,0,0,0,0,0,0,0,0,0,No Label
